country,global_mae_median,global_mae_p25,global_mae_p75,global_mae_min,global_mae_max,global_rmse_median,global_rmse_p25,global_rmse_p75,global_rmse_min,global_rmse_max,global_smape_median,global_smape_p25,global_smape_p75,global_smape_min,global_smape_max,tp_mae_median,tp_mae_p25,tp_mae_p75,tp_mae_min,tp_mae_max,tp_rmse_median,tp_rmse_p25,tp_rmse_p75,tp_rmse_min,tp_rmse_max,tp_smape_median,tp_smape_p25,tp_smape_p75,tp_smape_min,tp_smape_max
Australia,3421.576006649513,1833.727172714753,5947.945867760811,554.4744801793505,17663.064821124663,4984.570986395303,2582.456021535508,9342.957171556329,679.39078691453,18921.5191606293,74.01803669449761,41.46994259067161,131.79796205629796,9.319914966569742,198.85633691027653,3965.745665043155,1669.4989133061908,6925.082540270049,554.4744801793505,17247.315598510017,5676.319449224167,2271.0001993755627,10393.373957122598,679.39078691453,17576.94393839599,105.8978803153958,60.0697333081651,154.30095788736884,18.734165098095904,177.28455543881816
Brazil,8873.068986427355,5652.902637577159,16425.316396823975,2312.5653871793334,46604.64211960016,11394.111830254024,7357.269114496954,21922.626426045023,2933.210068437655,53653.35634328773,126.61435743131948,103.21714455013876,143.76636392910336,43.24564865022191,186.85160693010167,9054.142753645245,5905.235628799818,21493.07843235221,2312.5653871793334,43187.85410192048,11607.489137492284,7964.311478075199,24353.381638131985,2933.210068437655,53653.35634328773,130.2856674799803,103.47004705039268,146.4406075035873,63.00595974266354,169.72600987692348
China,2502.069856962677,997.515640511159,7334.988710165372,238.9083119486929,37935.8576804859,2902.703736841004,1236.9101370101876,9258.24020650547,275.1713577854874,41243.06528928278,30.50211791490499,13.574520134178602,54.22000817168896,3.4650449286455456,199.86306364672868,1605.6029078339393,830.7783591919394,5632.700795715451,256.50902035404044,33321.57997612351,1976.827409123748,1015.8740326792768,6865.779928798059,313.11080826123526,36751.32297371442,28.42618232011885,10.3139653294935,54.36631892891594,4.072145273118933,199.66549030532903
Germany,6013.590564017638,3860.355478239392,17946.499767078032,1339.2862221391042,58384.27982371514,6623.341392267052,4420.73255210794,23402.562028761604,1803.6164094485907,71111.16706883734,76.09630373811231,65.5195282886923,88.640446361436,59.08439550516443,118.63326400960683,4605.327592186517,2926.570763157593,10774.40632897408,1339.2862221391042,58384.27982371514,5386.95710927053,3711.287863299001,12029.283813265763,1803.6164094485907,71111.16706883734,69.72034036774959,63.61324197871821,86.07207066875502,59.385576482128414,118.32599717381686
India,560.7278187258225,112.56221706459718,1160.9868343708454,14.980088743457085,15268.445398386795,628.3995962669715,130.81014468027942,1468.829266106634,18.98804318452621,15552.211661617372,59.34941235019264,37.4553896791835,107.21149696951768,10.104366330376456,200.0,376.1294596270526,112.83361329399006,1740.524028096445,23.999911479601256,8943.673143073547,470.546732922252,128.82260978927428,2218.7812000371,29.525104247076783,10545.441899687048,74.89525850684105,47.95268653536476,107.06891560793932,21.768548049469533,188.99028843889343
United Kingdom,4586.634223033379,1484.044938969534,7857.310271162312,367.0826151132422,11626.412730996046,6241.295126580812,2489.645191663072,11746.591199639308,513.8917407200317,23799.38106877273,167.9686617663508,156.0445538661632,173.78737474606675,104.1046796395376,199.380010713852,1806.166598581427,664.5695626643825,6788.445587252254,367.0826151132422,11626.412730996046,2523.50646572438,1396.689618648659,11695.536395034966,513.8917407200317,15167.679993071077,168.069559734132,148.64831552411331,174.72890122122328,104.1046796395376,199.26185722889448
US,15643.559265350032,9351.936132246225,21671.171743877392,5757.114966156465,51506.078422596176,18373.50601725383,11873.525267348525,25670.267762402866,6853.665940341673,56400.08338280386,50.3227827920271,33.760012814074614,64.76821109682434,15.707756974798622,114.27036441308218,13805.535773259786,9235.104011875806,20353.63963316384,5757.114966156465,35161.84549281747,17184.26003205023,11433.389030518463,23884.797032371625,7208.003731838554,40602.74172018652,42.15203710158506,33.54682517893529,56.74455330604693,21.30925377751331,97.57146556270332
