country,global_mae_median,global_mae_p25,global_mae_p75,global_mae_min,global_mae_max,global_rmse_median,global_rmse_p25,global_rmse_p75,global_rmse_min,global_rmse_max,global_smape_median,global_smape_p25,global_smape_p75,global_smape_min,global_smape_max,tp_mae_median,tp_mae_p25,tp_mae_p75,tp_mae_min,tp_mae_max,tp_rmse_median,tp_rmse_p25,tp_rmse_p75,tp_rmse_min,tp_rmse_max,tp_smape_median,tp_smape_p25,tp_smape_p75,tp_smape_min,tp_smape_max
Australia,25722.249284230045,21539.61228712634,31427.68865618333,15716.79323333174,39773.74853554375,28769.018240951955,25954.83018905236,32281.04436393432,19902.669555435103,39998.55333508387,150.80378382188633,137.97106983725098,160.94131358517325,65.14461584262425,182.306786173778,26855.137734203105,24065.23872748372,31585.70272635244,17830.77965131778,38114.160096259744,29707.31746628925,27221.65493619747,32332.8879829626,20933.10447491124,38217.03079900385,153.8372669363068,142.25866779984636,167.1253738030248,76.88848328302991,182.306786173778
Brazil,10848.33281265998,7130.484702695974,20951.229381695364,3217.717746514997,49496.205082286375,12765.847063920886,8641.019344383605,23940.103634016043,4027.578615328228,53488.81195783799,114.64578892301924,102.30004262342838,136.113341461524,33.04130646519254,190.59114730900092,13159.630500953968,7545.901679826819,21471.306518135512,3378.573852191942,44498.9364247585,15238.182877385643,9281.82702046639,25129.537776521185,4027.578615328228,51731.14907392929,128.1343158327416,104.51682672154917,138.40858616350553,33.04130646519254,169.8825607868813
China,6579.1295603996605,3313.701016346913,19856.093873337213,574.3534892201003,46584.62958762293,6700.255672187008,3366.019690610309,21270.22117628879,605.6905187823905,50662.25932738501,115.57265985316542,76.21280454093414,156.61513088536222,21.21145914369429,199.9189987039128,5610.20104262471,2814.563081911377,16238.058159051505,574.3534892201003,46584.62958762293,5888.9341080803215,2815.128303215284,18131.661162132987,605.6905187823905,50662.25932738501,120.04937054073676,72.62567405623437,162.3895634809321,21.21145914369429,199.8398076041328
Germany,4501.761681387647,2375.1706821182843,17003.19074319153,926.8532987023656,56203.08843480789,5791.114215777038,2792.18347004796,20785.47805400588,1131.7657762633562,66905.01956843516,70.95774826179144,63.08473540075257,84.52917619435264,58.98943230137348,118.48002253410772,2657.570581390971,1965.2847623928787,7345.804180164143,1355.068394734256,56203.08843480789,2969.6320668904978,2306.6686531691635,9075.858835330457,1517.011022338058,66905.01956843516,63.76055073858167,61.63236748270332,79.36560581720923,59.32517346893099,111.39066694121138
India,515.5144030578907,453.6986816953527,919.143118337445,297.46063883048834,6113.483151753232,601.2589880580706,463.0016025025708,1349.558865721333,335.7581697311469,7763.208304176598,87.14765825234404,33.85959738916646,118.304239803043,11.65521662932072,147.13983402232364,514.8322771991891,462.165466087604,1137.85621085846,370.4745825882342,4853.157539898187,530.279842014993,465.0648287988004,1409.7492959531608,374.8316129591723,6211.871888388478,106.65201056055751,76.22091590352595,118.59620544823674,19.65720392940208,141.76808734854112
United Kingdom,7013.949871888643,4206.403612268826,10032.792359050609,1165.6715064207697,21083.92090549261,8640.167685015149,5556.564239925939,12193.692767860704,1474.67508298276,24894.62762944518,171.60045580911557,168.8907312174553,177.53469052772567,148.13786051233745,199.6564356594939,6472.111166330289,3301.8891754627234,9668.884505256978,1165.6715064207697,16746.17444569627,8464.333369816652,3697.869032856028,12260.488486680577,1474.67508298276,17517.71592484426,172.77201354479658,169.2189100619402,176.39414710285465,154.88875984814237,199.6564356594939
US,15484.061618845137,10015.606531586487,22971.500046911,2731.973868677556,52891.10604949356,19867.50184058493,12024.563036461275,25866.37690542549,3671.949796648815,55687.256598959895,43.91259672429683,33.5365163455353,59.514637231763615,7.91903170854795,100.48249695478091,15617.681210190702,11189.529352375985,24112.92158051423,4332.411972727064,33100.07182320688,18369.84177493319,14057.53331740441,28927.978180007107,5944.527674579542,45422.13479281965,44.21225633791212,35.47949902963737,60.56663565763007,17.170105582877923,84.81421312205887
