country,global_mae_median,global_mae_p25,global_mae_p75,global_mae_min,global_mae_max,global_rmse_median,global_rmse_p25,global_rmse_p75,global_rmse_min,global_rmse_max,global_smape_median,global_smape_p25,global_smape_p75,global_smape_min,global_smape_max,tp_mae_median,tp_mae_p25,tp_mae_p75,tp_mae_min,tp_mae_max,tp_rmse_median,tp_rmse_p25,tp_rmse_p75,tp_rmse_min,tp_rmse_max,tp_smape_median,tp_smape_p25,tp_smape_p75,tp_smape_min,tp_smape_max
Australia,20136.2749819259,18968.834925900155,23240.6235200945,15202.207364960572,30229.521818085574,21129.624201542923,19845.893802153005,23823.913091394286,16340.886680668613,31664.44742308128,148.06684351195895,135.1322138711814,158.6599739789717,83.08811035466927,176.5446770984798,20972.554742192715,19759.94290581087,24424.582364960574,17971.688949782,29172.711271210574,21994.58136817918,20660.601599287285,24896.227419127707,19027.781655115494,30849.648349549032,149.5405721830488,142.97414013900885,162.5151378645775,120.84387479567944,176.5446770984798
Brazil,10947.13740862153,7964.221561879045,18988.7044100346,4107.404384727136,52927.65125979481,12802.887069506807,9008.414932650972,24483.917312857728,4799.774547817734,61322.67891859897,115.04737434945116,97.27570228872337,138.55631709684255,44.32832763819717,176.70430452621184,12645.955032442713,8438.015829466478,23619.84311075284,4320.656402272251,52927.65125979481,14427.53764605366,9499.485934922815,26828.21066556001,5160.456202790279,61322.67891859897,127.06819356374452,98.65904035509644,145.83683059595327,44.32832763819717,161.5487607449753
China,3532.0714945715376,1484.9548180585657,9111.554360828595,154.15222318471692,29113.845542872965,3801.12286597328,1719.2753793875108,10545.690868809326,205.85011191380133,33626.74453019975,50.57432204201078,33.141095037046426,69.39859139869344,6.327346682009987,200.0,3572.9697184484908,1061.4372152728936,8061.50137133612,154.15222318471692,29113.845542872965,4150.899404041861,1204.2419371910155,10180.33330330162,205.85011191380133,33626.74453019975,50.65535079847121,35.22550316106128,63.488429724998326,14.092483750231574,199.20700043446251
Germany,254259.83369555543,206104.010158506,271934.89780486654,158036.37296115144,294161.8025409083,255479.1229467618,207726.6949104197,273846.80298002146,174188.72313515257,294991.340328884,161.87142059068503,152.0509528779822,170.54201411962674,97.0957195672098,188.62888535285435,254259.83369555543,205992.4192187121,268863.9036911909,158036.37296115144,291840.8964449028,255316.60738664583,207257.39158626317,270293.137928971,174188.72313515257,292433.93013434537,159.85206793623058,155.64668463395307,174.1436826578399,97.0957195672098,188.62888535285435
India,2741.9204246875474,2583.3884771429043,2856.308538526833,1607.5186389732614,6905.350112187547,2811.4962580443635,2708.6588286941123,2996.41678604247,1700.7005565026536,8316.528447192075,200.0,155.8928247600829,200.0,29.82098703458424,200.0,2769.146987187547,2715.5018979018328,3198.3111412404705,2258.9751121875474,5028.5576375319215,2920.4625088640246,2795.5063969139865,3468.8632931399734,2403.420864296303,7005.632344306765,200.0,199.3858179697935,200.0,53.03651487989133,200.0
United Kingdom,103271.4121405918,83993.01971306541,115567.18770998032,69515.26790883324,141412.23770554192,104546.82748703488,86910.7850569274,121515.53648816048,72091.48623308036,142784.29317187262,186.1166812739276,181.4906067183529,190.2617860397698,166.22589326764384,199.974500327589,101166.38613193354,80362.20536398458,124518.03094639152,75428.02788896699,134879.2969335734,102969.60769029066,82108.36373929924,125397.3839860537,76656.9046984931,136347.59499881798,189.4314225443213,184.29669427738077,194.1778445410055,173.4736708888068,199.974500327589
US,31607.090732470395,25193.98956703181,42757.32663350744,12898.478493852208,60232.30422199105,36900.81097154792,28663.664856103023,48984.57131987285,17677.73276652707,75689.74889112054,77.04936627903209,67.90572173221047,87.45232301161003,49.13671242949632,108.659467229196,29747.370774247152,24702.78706718916,40534.88015414391,12898.478493852208,60232.30422199105,34193.58766853688,28543.33476590544,48687.46184513309,17677.73276652707,75689.74889112054,75.83413831746189,69.41518373280871,85.4833311216851,49.771338865092666,108.659467229196
