,country,MAE_GLOBAL_ARIMA,MAE_GLOBAL_CNN_LSTM,MAE_GLOBAL_CURVEFIT_LSTM,MAE_GLOBAL_DELPHI,MAE_GLOBAL_EPILEARN_FULLCURVE,MAE_GLOBAL_LSTM,MAE_GLOBAL_PROPHET,MAE_GLOBAL_SARIMA,MAE_GLOBAL_SVR,RMSE_GLOBAL_ARIMA,RMSE_GLOBAL_CNN_LSTM,RMSE_GLOBAL_CURVEFIT_LSTM,RMSE_GLOBAL_DELPHI,RMSE_GLOBAL_EPILEARN_FULLCURVE,RMSE_GLOBAL_LSTM,RMSE_GLOBAL_PROPHET,RMSE_GLOBAL_SARIMA,RMSE_GLOBAL_SVR,SMAPE_GLOBAL_ARIMA,SMAPE_GLOBAL_CNN_LSTM,SMAPE_GLOBAL_CURVEFIT_LSTM,SMAPE_GLOBAL_DELPHI,SMAPE_GLOBAL_EPILEARN_FULLCURVE,SMAPE_GLOBAL_LSTM,SMAPE_GLOBAL_PROPHET,SMAPE_GLOBAL_SARIMA,SMAPE_GLOBAL_SVR
0,Australia,9163.54991830516,20935.231802503466,23065.24984432306,7010.886001463563,9438.107331112677,55316.22478869083,14559.529933268814,4928.765052901299,16998.375970049936,15269.560405237267,22741.71031560549,24309.952033616184,9633.206017317094,16905.44928943683,77050.36585588848,20422.16899525199,8673.705846275045,20446.76101954244,114.58661478760376,144.98301777656283,147.92967819589018,69.18272004428273,110.48011003062292,178.52132976969847,145.78257615071644,94.13356795025442,134.84351459964728
1,Brazil,14113.43959066984,14960.516935627253,14509.508802816672,12601.27032240566,17162.8003790367,14358.550827395937,26827.32550773584,13337.936452675696,14842.136557575092,20793.536788124708,20904.0487396505,21002.303912580785,16266.519639173826,26393.31883704178,20342.14382841289,36731.83146489324,20334.661608789444,20666.14795529214,125.82883259282234,120.04451610226228,125.76893758854249,79.29613716821363,135.94917725645985,121.6620522497572,157.6978361615903,128.84483484042536,119.33958157044744
2,China,6758.743373397774,12834.686480455575,11945.360890548323,10651.800070681087,6680.230599846653,11670.738317897609,10792.081469048711,6674.593124736564,11953.883045290171,11320.609222925834,18709.16607299052,17790.767200838734,14873.394657112834,11559.720188384106,17442.48290468362,15638.473641078252,11439.756960988272,17948.872338432742,55.71893455571741,159.121250927991,142.23124892207534,82.64227897888891,55.38690617226821,135.8586868976562,78.87616452552663,56.11002517918974,126.9203275979524
3,Germany,14542.928151253427,25817.19772103345,326291.6816794645,22742.08391805709,96438.60116902154,19607.15641279624,31275.97038304275,16052.88193898078,14333.585570466455,24609.79117432057,35494.39308629813,332262.1939910318,31168.49172563525,203782.32031750013,31126.91557891686,38840.71030524212,26275.94682024295,22879.53454476039,82.42366081161947,87.47555547441827,167.27072598749214,52.7169609284336,118.43585048471924,90.32468184144984,104.52396865361092,86.8605018741896,83.05777967497562
4,India,1545.1141043304742,5018.661771518452,16129.52198612028,1627.0689037662678,878.0177600122278,8688.491203220412,33640.26057278706,1551.0483561564488,1732.4094699759844,3151.488922498545,5912.299896347395,16801.86106592593,2927.765154488632,1882.9299952011104,9858.546134586855,38715.56883950595,3458.814712682165,2324.401236234035,97.3660463845739,148.96028303517286,171.75081854795494,67.28636085361866,46.29607342964528,151.89537657098165,199.3991019051932,96.78454224321736,104.94641524112409
5,US,28244.409655394928,43035.675346687705,41240.79454983329,20751.046040513203,43365.99928649782,34782.07496760827,73538.67574759231,18489.70661846753,17253.10981029707,36112.94305731552,53168.42166763432,50612.38282958605,24900.68186201174,56725.75462698717,43188.68176165847,111496.89514977738,25448.071909131333,22415.569072795068,69.80362550910678,79.66535501417178,79.44443391634415,36.51570255098587,86.98884313030587,75.18363546266073,91.39624198402946,56.74743220318928,47.58043093222545
6,United Kingdom,8121.676380444603,13018.459447450434,137428.51880400858,3230.5078767175946,8711.296914025674,11970.573303757434,15949.89031642062,5132.333265792397,6689.65339739576,12495.178233216837,15485.223886388305,141363.73964772097,4090.1303334955055,16021.425860576315,14859.68235815325,22607.441697990453,10524.924704778092,10610.49991279988,178.7503959120577,182.947485695242,188.61367991602484,74.82473945273873,173.64989299733153,183.9917072058962,188.41611283438613,168.03001552394605,170.63071862424354
