model,country,W,F,target_var,alignment_MAE,alignment_RMSE,alignment_sMAPE,alignment_MAE_mean,alignment_MAE_median,alignment_MAE_p25,alignment_MAE_p75,alignment_MAE_std,alignment_MAE_min,alignment_MAE_max,alignment_RMSE_mean,alignment_RMSE_median,alignment_RMSE_p25,alignment_RMSE_p75,alignment_RMSE_std,alignment_RMSE_min,alignment_RMSE_max,alignment_sMAPE_mean,alignment_sMAPE_median,alignment_sMAPE_p25,alignment_sMAPE_p75,alignment_sMAPE_std,alignment_sMAPE_min,alignment_sMAPE_max,tp_same_sign,tp_diff_sign,tp_diff_percentage,tp_slope_diff_stats,global_same_sign,global_diff_sign,global_diff_percentage,global_slope_diff_stats,lead_lag_unmatched_rate,lead_lag_within_halfF_ratio,lead_lag_mean,lead_lag_std,lead_lag_median,exog_vars,curve_func
curvefit_lstm,Australia,14,7,new_cases,36525.38839882435,37498.44045058105,161.84618234989222,36525.38839882434,36673.187743247756,34961.187998108944,38256.96523595876,2070.8282870895287,31518.87388376847,40182.923708431554,37457.456510945245,37640.902833210275,36077.418847351284,38767.875549583376,1752.7087483146304,32461.31915515216,40337.37835725495,161.84618234989222,160.32786983467935,150.8072959433749,174.25305155085522,14.074189776848367,136.56189948872714,184.12634674834183,40,16,28.57,"(49.78492044628701, 0.2544105693787398, 0.09205818777488642, 152.089742420038, 75.65168355868894, 0.02230029164818862, 178.65460941836247)",145,29,16.67,"(29.420854602010888, 0.21123089164772896, 0.061260482454195915, 1.601327230919983, 63.68083050280448, 0.00010092033171234809, 178.65460941836247)",0.6666666666666667,0.30158730158730157,2.142857142857143,1.1526367287968178,2,death_all,gompertz
curvefit_lstm,Australia,14,7,new_cases,37184.74141597306,37920.31211519668,162.33080580860045,37184.74141597307,37033.88699451039,36054.58655004191,38577.01439776791,1643.0950480392871,33446.40540968896,40137.09424591941,37896.526422528375,37849.7588314213,36944.997257664014,38899.88108281567,1342.8909190774016,34781.94031622321,40173.49845530256,162.33080580860045,161.12630300664534,151.9366033888332,174.72599917421593,14.14294159021943,135.9648224182904,185.24602003961695,43,13,23.21,"(39.36190066857525, 0.1553292166726974, 0.06922284852653493, 30.211032649776204, 67.79453459336217, 0.0051571852816747815, 177.4436378408623)",147,27,15.52,"(26.357194455315895, 0.1123972678480555, 0.05375751890850337, 1.61837874623972, 58.765102496862944, 0.0006308129933072124, 177.4436378408623)",0.6666666666666667,0.30158730158730157,2.3333333333333335,0.9128709291752768,2,death_all,logistic
curvefit_lstm,Australia,14,7,new_cases,32054.0221714792,33465.15145415623,159.2829998311506,32054.02217147919,31560.823730308646,30323.047948583266,32860.305743644654,2234.1913316113387,27818.81093036445,38532.07118680767,33412.39029847864,33068.4025049462,32125.190256470516,34518.468174707814,1878.439882387774,29315.47706743428,39078.74120164518,159.2829998311506,157.31588952406472,148.92388940340194,171.95105173073335,13.960714994743613,129.85056232331416,185.77179811521515,34,22,39.29,"(70.97722300441909, 6.6261321554754495, 0.3587362934357137, 175.49479409817815, 83.7903318492653, 0.08252848485853521, 179.27805847023333)",109,65,37.36,"(67.05168879386848, 0.9459167108531333, 0.1291451373245929, 178.06184325292318, 85.01498188912235, 0.017548961483745743, 179.27805847023333)",0.6666666666666667,0.2698412698412698,2.4285714285714284,1.0757057484009542,2,death_mobility,gompertz
curvefit_lstm,Australia,14,7,new_cases,36147.78409046695,37045.148933524266,161.6685174600527,36147.78409046695,36269.859016427225,35176.16053773025,37335.32838332177,1933.423261411776,31027.428777434496,40255.59084538928,37005.95333084107,36940.584655475766,36284.72615599682,38021.060411498576,1703.6659245894548,32536.767826183182,40396.0788342816,161.66851746005267,159.33925294976325,151.3720886935845,173.3793780184837,14.006669062363695,132.66742096849407,185.92371196050834,35,21,37.5,"(67.68125497541446, 3.770305177898872, 0.42541181474264955, 174.10967443960186, 83.03485926848454, 0.0658730057902425, 179.13661400635488)",110,64,36.78,"(65.97864950151674, 0.7802795334883085, 0.15571176467923617, 177.9576923263893, 84.75581926938148, 0.035977181147855135, 179.13661400635488)",0.6666666666666667,0.2857142857142857,2.1904761904761907,1.2090925365350502,2,death_mobility,logistic
curvefit_lstm,Australia,14,7,new_cases,23547.03548551139,24840.917861554368,153.58529700415647,23547.035485511384,23391.912443085574,20979.770238622328,25383.599434828735,3057.1290647664227,18620.91048996057,30171.204993308787,24629.240562976676,24044.08544948279,22082.817108659117,26632.897180651424,3236.002085214896,19564.479876149468,31401.530945294202,153.58529700415644,150.59202257456593,144.01477840423584,166.25055380888824,14.20664494689892,124.06656580061394,179.84417923101162,43,13,23.21,"(41.13704040532283, 0.29584180497135615, 0.08842668444134166, 27.65515631947763, 70.50278377801453, 0.004953730756959348, 177.8134181004154)",155,19,10.92,"(19.941900818941605, 0.1309267143306047, 0.04281777537141579, 1.1876249548101603, 52.07366263869825, 0.0007032336236327584, 178.1840039419031)",0.6666666666666667,0.2698412698412698,2.6666666666666665,1.0645812948447542,3,death_recovered,gompertz
curvefit_lstm,Australia,14,7,new_cases,22407.406047199805,23762.44780877811,152.55167000830974,22407.4060471998,22199.97614071574,19606.612481264005,24907.038361697887,3400.410753274972,16643.166151876456,28751.513609758695,23471.261229145326,22977.01013696209,20704.517389561464,25393.596266642104,3708.6145901297095,17598.035659561538,30528.374100971854,152.55167000830977,149.930467291501,143.1700136015952,165.17254660195147,14.184902635630836,120.10995486170575,180.79587555131755,45,11,19.64,"(32.62693439011954, 0.26461591924514105, 0.05800465139973683, 5.711999498155949, 63.77323777520553, 0.007209181307816863, 176.06477734977366)",152,22,12.64,"(21.876303732064734, 0.0938533178776572, 0.035418316349632536, 0.7798824269943775, 55.98006779604982, 0.00032348676096124866, 178.93638978547924)",0.6666666666666667,0.23809523809523808,2.8095238095238093,1.123345344008138,3,death_recovered,logistic
curvefit_lstm,Australia,14,7,new_cases,23185.314750438272,24745.06158015219,152.98135635399802,23185.31475043826,22603.64040067486,20848.658003689292,25576.283118308787,3157.6019667455694,14907.371845987358,30099.019725451646,24547.85997384834,23873.498107127045,22235.08412125832,26226.426106006897,3117.794622783561,18986.197552601858,31936.661127016294,152.98135635399802,150.3364274998859,143.19818035760676,162.85961821937315,13.789529370006539,125.37389243463059,176.60376382874063,38,18,32.14,"(57.12164756494658, 0.9981192975717832, 0.23349822313103702, 171.85681372101286, 79.54655139956459, 0.0010332658051886911, 178.86358196056722)",138,36,20.69,"(37.09755070513714, 0.3802234361415815, 0.13446712854914752, 5.210565806180916, 70.48834874399765, 0.0003603689537964426, 178.86358196056722)",0.6666666666666667,0.25396825396825395,2.619047619047619,1.1608699529314417,3,death_stringency,gompertz
curvefit_lstm,Australia,14,7,new_cases,24861.07097280766,26133.507340501143,154.73587945230454,24861.07097280766,24314.156107233597,22250.661269063952,27074.05825261584,3050.0974589902416,18665.709818171097,31347.796952392622,25963.951525184082,25682.308247037323,23413.170108860562,28070.645012717585,2972.108193508164,21208.191293253058,32667.975843796456,154.73587945230457,153.29022860889066,146.5262733218115,165.21726157792824,13.707600484978686,126.34944867035802,180.52613510746184,43,13,23.21,"(39.06539624039307, 0.09855867897586656, 0.036532370621556065, 20.240180347323008, 68.89447693208851, 0.0002754717999192992, 177.3770125424368)",159,15,8.62,"(15.091440276959403, 0.06494350262931906, 0.027068221812387657, 0.5734425036675074, 46.463770833580305, 0.0002754717999192992, 177.3770125424368)",0.6666666666666667,0.2222222222222222,2.857142857142857,1.1526367287968176,3,death_stringency,logistic
curvefit_lstm,Australia,14,7,new_cases,22258.855312895786,23594.269720508833,152.31246832256699,22258.85531289578,20972.554742192715,19759.94290581087,24424.582364960574,3214.110188390594,17971.688949782,29172.711271210574,23328.785819089317,21994.58136817918,20660.601599287285,24896.227419127707,3529.4922936843172,19027.781655115494,30849.648349549032,152.31246832256699,149.5405721830488,142.97414013900885,162.5151378645775,13.905056888959846,120.84387479567944,176.5446770984798,44,12,21.43,"(36.742362863042445, 0.25019753976456915, 0.061132549077281315, 12.074884599642196, 66.75740789148647, 0.008785728341269493, 177.15371345839836)",155,19,10.92,"(18.756498218273283, 0.10651870850474109, 0.03917508002020382, 0.8827421001429572, 51.324550315744055, 0.0003732633694365767, 178.29001802641756)",0.6666666666666667,0.23809523809523808,2.857142857142857,1.0623424252901832,3,no_exog,gompertz
curvefit_lstm,Australia,14,7,new_cases,23042.89008577978,24281.724055256174,153.04741543204204,23042.89008577978,21671.573877615836,20620.320867278242,25012.40939658905,3095.2274916692536,18957.51807404441,30455.31983185691,24053.80516069876,22776.38904540916,21500.563244956953,25492.02592299928,3319.123436503661,20191.07004572027,31675.95970620915,153.04741543204202,150.5586016108529,143.25868810036678,163.5624932198005,13.885521502049698,123.145661109615,177.56365475006146,42,14,25,"(44.788811443558366, 0.46918643536078264, 0.10197650851825013, 62.43206827107595, 72.81422344205096, 0.002050289481158471, 178.21184202527476)",148,26,14.94,"(26.58355497905627, 0.2103775995229534, 0.055326422497135874, 1.8192725681702588, 60.58355434593443, 0.0005067651781344346, 178.51300963462523)",0.6666666666666667,0.25396825396825395,2.8095238095238093,1.030487633067356,3,no_exog,logistic
