model,country,W,F,target_var,MAE_global,RMSE_global,sMAPE_global,MAE_mean,MAE_median,MAE_p25,MAE_p75,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_median,RMSE_p25,RMSE_p75,RMSE_std,RMSE_min,RMSE_max,sMAPE_mean,sMAPE_median,sMAPE_p25,sMAPE_p75,sMAPE_std,sMAPE_min,sMAPE_max
delphi,Australia,NA,14,new_cases,7010.886001463563,9633.206017317094,69.18272004428273,7010.886001463565,5468.199947323855,2818.2340981512752,9723.08863922278,6254.044443745398,806.6411322764537,29892.47443953218,7322.0995772470405,5750.231587568239,3252.9552255177896,9910.47125174481,6259.8335403549645,932.7982730215683,30100.67405037244,69.18272004428273,66.54192452378689,38.06120868937734,102.84233787421154,33.369181268320645,16.02450578309637,124.70550774122586
delphi,Australia,NA,28,new_cases,6023.675311802803,8238.16707703542,67.41503657775874,6023.675311802804,4015.006413167615,2556.3304405863532,8179.515476480288,4645.525018828273,1193.5368007218683,23228.49077273533,6684.665286833533,5036.439202760022,3257.281690929144,8761.567841073515,4814.836112699277,1357.881684251028,24434.747445594392,67.41503657775876,62.3135926669348,40.538330694437605,88.81078793469027,29.17770037988392,21.776214261482757,141.3736482920991
delphi,Australia,NA,7,new_cases,7789.463387727736,10700.617795658498,71.46736545371968,7789.463387727736,6167.338575871467,2769.271743251878,9531.492607643999,7215.059769292873,536.1871919485486,33029.47392612119,7925.553699073048,6269.725000423415,3134.198591149632,9624.839247686281,7189.4937076175875,580.4849507046418,33042.16973249401,71.46736545371967,76.62675057807336,40.00346271266565,103.70814651926025,34.65734847410754,10.03263247811833,122.94601145986842
delphi,Brazil,NA,14,new_cases,12601.27032240566,16266.519639173826,79.29613716821363,12601.27032240566,10740.806344421202,4377.614200544098,19476.591550937494,9483.837899284536,1029.2057333712849,35959.33822598696,13135.003012605244,10948.897450664543,5039.229111442152,19876.002267645454,9595.382067978266,1246.8532784933761,36686.48490372736,79.29613716821362,73.62781017911153,50.885703443215114,98.4551280311082,39.003198167734666,15.117225572947618,166.4808300447886
delphi,Brazil,NA,28,new_cases,12078.812479124315,15987.593127972492,80.32157164144877,12078.812479124315,9841.507879883284,4110.461795034471,18257.25810309911,8899.50089789871,1451.4279339479278,32809.27312907317,13189.464006993121,10997.428939120915,5091.125634228471,19520.535227793567,9035.550521901045,2035.3675106700184,34082.3969516044,80.32157164144877,67.54561041435896,49.51724008607116,112.47158635311494,39.445183634631334,12.845330678068281,178.4989063357918
delphi,Brazil,NA,7,new_cases,12651.273996561282,15936.724988015438,77.44020570422478,12651.273996561282,11675.342671106253,3856.8021694056256,19221.87917804723,9228.543453508679,1106.1645612376637,38161.874695313396,12968.206676604259,11874.256933751678,4295.973975035549,19668.644290370226,9263.08906016305,1223.3680210218527,38573.82396619537,77.4402057042248,73.51403910945139,48.868586199091,94.8706037318213,38.14226963288838,14.107632646949666,156.9617256987104
delphi,China,NA,14,new_cases,10651.800070681089,14873.394657112834,82.64227897888891,10651.800070681087,7482.053870738997,3849.497402897914,13105.715299247337,9323.697753916389,877.8836149812698,36958.54907432541,11427.816782835207,8571.203129326765,4431.702899125071,14502.432384181218,9519.604624362431,958.8877417811864,37314.36400767605,82.64227897888888,72.38905457048742,41.710089278616124,115.59222915918545,50.81752910285097,12.570937894333975,199.96715018664307
delphi,China,NA,28,new_cases,10767.216361538365,15134.76891319737,94.58726126619602,10767.216361538362,7264.954282860552,3249.3378190675253,16326.751645016855,8230.322948655987,1263.1538787948673,29126.838564212172,12338.856725772795,10227.575273345872,4510.255650107609,19408.71622106158,8764.35078923345,1658.8480066572035,30648.833268733844,94.58726126619604,97.98220055891795,55.97088465885416,118.38636020526224,47.08011821586631,18.54399095540267,199.9496818834728
delphi,China,NA,7,new_cases,10922.112368405156,15206.731536948313,77.3257101773393,10922.112368405154,6556.406104199928,3812.3528693952253,16688.866556225057,10219.447558837366,735.4832735663136,37741.85639843542,11219.583822067596,6733.3724120486095,4100.269938452247,16949.43943979693,10264.7758327407,884.526187616013,38267.642583607136,77.3257101773393,62.76066687869994,34.96159158675564,120.0418884384595,53.202055822027646,10.915166255039962,199.9672912815584
delphi,Germany,NA,14,new_cases,22742.083918057095,31168.491725635246,52.7169609284336,22742.08391805709,15094.927770408276,6351.181480908623,39276.93813035045,18977.458226622686,2202.586831214561,68524.42981243109,24365.72782113696,16983.01590747237,7158.833179453661,40587.68394242437,19436.722568305217,2602.282619492315,74072.97722945496,52.71696092843359,49.137352191229866,21.980827362689233,77.59453832663688,31.390118761705587,10.032461280016648,134.61696030050476
