model,country,W,F,target_var,MAE_global,RMSE_global,sMAPE_global,MAE_mean,MAE_median,MAE_p25,MAE_p75,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_median,RMSE_p25,RMSE_p75,RMSE_std,RMSE_min,RMSE_max,sMAPE_mean,sMAPE_median,sMAPE_p25,sMAPE_p75,sMAPE_std,sMAPE_min,sMAPE_max
delphi,Germany,NA,28,new_cases,20089.140046875593,28567.44340880449,51.49901861209296,20089.140046875593,14927.775751649413,7585.644047362557,30138.905531826593,14512.726624842579,2181.5203057516183,61087.60816787591,23475.99682342344,18368.17333697512,8505.248068682706,36366.468717118805,16278.095590758141,3195.8280847611995,63115.22631482303,51.49901861209297,48.01085996439114,34.859777856544085,64.351816273729,26.118603742708228,10.974686624458553,166.6579047839813
delphi,Germany,NA,7,new_cases,25332.07046068246,33881.989364871966,55.96517116395062,25332.070460682455,17661.5593087233,6169.041004752868,42028.63332906823,21759.2258877461,2080.650875196778,95014.03090084833,26010.421828786057,18769.88125859478,7110.215486809054,42442.35957025518,21712.833983842524,2694.7246358681746,96238.39540115697,55.965171163950615,57.47514869551644,21.242877482206254,86.56978812150875,33.77697085215606,9.016676717458747,114.55138027945904
delphi,India,NA,14,new_cases,1627.0689037662678,2927.765154488632,67.28636085361866,1627.068903766268,703.9701425908519,89.79351671981892,2559.331050232409,2279.2754416802723,5.512310167780671,14709.625061945326,1696.1018827671858,734.4382607064896,100.0040907967477,2593.507664018417,2386.4298026783545,7.983515109482549,15748.755922191465,67.28636085361865,68.29438678483606,41.19398194258931,93.82985809618877,35.7256359972228,4.475762736699101,141.8334457706708
delphi,India,NA,28,new_cases,1155.0084100466604,2227.663254920555,61.77160148996958,1155.0084100466609,447.837532526915,87.13902561672064,1810.1609286390635,1492.5212213225159,22.550943291408636,8165.545978678609,1330.7970897899993,541.4341187864801,101.4212319702318,1983.986884041731,1786.4665356870555,24.554530582518105,11238.472981419765,61.77160148996956,58.26985632442575,40.004527075231685,82.10296804172202,27.369093853963438,16.908663401193667,123.89591729227296
delphi,India,NA,7,new_cases,1970.5170319571316,3512.3467782654216,72.88197138061773,1970.5170319571316,900.9507001229924,107.02875992377155,2934.8486841362237,2873.888684128157,4.527596552052622,19736.508161646816,1989.4660835291945,910.7061658873484,107.65826793372324,2966.2217003466935,2894.5819375651636,4.930700339429591,19862.305003797173,72.88197138061773,74.79073202542595,57.828084874233895,100.13043391852779,38.051665050261995,3.3399011087794515,151.8233894793043
delphi,United Kingdom,NA,14,new_cases,3230.5078767175946,4090.1303334955055,74.82473945273873,3230.5078767175946,2945.1216332747954,1659.0506125935324,4238.619962045803,1992.6108141195884,357.00805971798803,10507.409475099088,3515.8938965369307,3163.4363263786154,1876.2543128201705,4507.290174687999,2089.893838,493.9354212089216,11049.587649575937,74.82473945273873,64.36628700275645,40.32625993184946,87.5455487105044,50.44381386555685,7.338220417465034,198.07075999225071
delphi,United Kingdom,NA,28,new_cases,2986.72876598728,3713.644404107415,78.46883190903411,2986.7287659872795,2864.6612167803405,2206.6367441479265,3577.7426347608334,1217.4682487128732,323.30831402052036,7637.380015754433,3453.2605786406475,3305.214600190753,2532.343672739993,4081.058683691298,1366.0695941879299,625.9585031541984,8349.49993371556,78.46883190903411,60.867274725231944,46.91265376854764,94.28887705087527,47.63989943298746,10.757138466841276,198.90407418478546
delphi,United Kingdom,NA,7,new_cases,3471.7193641944436,4451.552421955278,73.70201325238519,3471.7193641944436,3179.663764122378,1465.777018333747,4679.72856914475,2500.4414414183957,337.1877349791769,13287.68965066918,3642.349055749902,3315.9228320227376,1604.4818566257434,4740.977108700536,2559.2210380296774,387.29654747926395,13455.698990535611,73.70201325238519,67.3166680264051,40.103857118904955,83.29736651282528,50.07120075539768,5.967595463993195,197.30065365430033
delphi,US,NA,14,new_cases,20751.046040513203,24900.68186201174,36.51570255098587,20751.0460405132,22425.306263650167,9112.695147851507,30058.598900713827,12281.996183556628,1791.9814064212587,83454.41491079722,21723.59135832461,23548.633318465025,10618.575797368863,30418.55349291073,12170.847780234742,2154.587464731432,91290.83257269386,36.51570255098587,36.827910545478744,21.77673961791531,50.58386691878627,18.213198019854286,4.5128264321636316,91.28408837765498
delphi,US,NA,28,new_cases,19452.813084118996,23549.258656674905,38.337344141202934,19452.813084118992,18015.028494709033,12072.29707832611,26530.58621805699,9908.12053366158,3268.708602238016,49251.682255732994,21318.43375163698,20726.170151064995,14236.003743196005,27207.27369114215,10004.597226077765,4339.985927969151,65661.53077867358,38.33734414120293,35.83548503198687,26.686017537238172,49.22188826212091,19.3297082267417,8.08063696304798,95.895723158945
delphi,US,NA,7,new_cases,21407.35453401321,26084.174721795735,35.563819335365466,21407.35453401321,21859.201766042414,9206.222102914984,31968.07454196919,14437.412269039072,1258.368810297971,116215.13842503376,21877.573802516126,22231.799953218193,9999.762417562833,32150.71136806733,14204.081646929086,1459.1890158532951,117452.8986154132,35.56381933536547,39.05447637372515,18.988481972524788,49.589982668947215,18.55046672005362,3.1429585303970877,78.71439686373499
