model,global_mae_median,global_mae_p25,global_mae_p75,global_mae_min,global_mae_max,global_rmse_median,global_rmse_p25,global_rmse_p75,global_rmse_min,global_rmse_max,global_smape_median,global_smape_p25,global_smape_p75,global_smape_min,global_smape_max,tp_mae_median,tp_mae_p25,tp_mae_p75,tp_mae_min,tp_mae_max,tp_rmse_median,tp_rmse_p25,tp_rmse_p75,tp_rmse_min,tp_rmse_max,tp_smape_median,tp_smape_p25,tp_smape_p75,tp_smape_min,tp_smape_max
arima,10428.172494663064,7439.686371229088,17252.553053044652,3054.670059228261,49844.01957256451,12602.891554102052,8889.2234476815,22496.01741861733,3812.194728250966,61477.14988249736,126.88124165938528,100.81577870843924,150.00599716962003,46.867203051032185,188.88771659344263,11933.61731400745,7548.06425644214,20565.83023665577,3054.670059228261,49844.01957256451,13343.482806321792,9401.141412402596,24929.592613260636,4190.366221560009,61477.14988249736,131.53804968432854,101.34173226441746,156.83773270629356,48.26370397984747,173.85943768757107
cnn_lstm,10914.397042410714,7666.934640066964,20162.487444196428,3706.560267857143,46798.56194196428,12859.548963931296,9077.230036677089,25759.428795036834,4232.026312892706,56773.06496295324,114.92225211149614,97.1933293426794,140.78425564616407,43.21470601130669,179.8019534573069,12959.167410714286,8179.268798828125,24774.7998046875,3817.832728794642,46476.27287946428,15402.612589288232,9572.160983012776,27883.079345392416,4232.026312892706,56773.06496295324,130.51917276614515,100.36221211429483,143.97373227682075,50.04561339301991,165.25513310443642
curvefit_lstm,10947.13740862153,7964.221561879045,18988.7044100346,4107.404384727136,52927.65125979481,12802.887069506807,9008.414932650972,24483.917312857728,4799.774547817734,61322.67891859897,115.04737434945116,97.27570228872337,138.55631709684255,44.32832763819717,176.70430452621184,12645.955032442713,8438.015829466478,23619.84311075284,4320.656402272251,52927.65125979481,14427.53764605366,9499.485934922815,26828.21066556001,5160.456202790279,61322.67891859897,127.06819356374452,98.65904035509644,145.83683059595327,44.32832763819717,161.5487607449753
delphi,11675.342671106251,3856.8021694056256,19221.87917804723,1106.1645612376635,38161.8746953134,11874.256933751678,4295.973975035549,19668.644290370223,1223.3680210218529,38573.82396619537,73.51403910945139,48.868586199091,94.8706037318213,14.107632646949666,156.9617256987104,15135.535498056352,4295.361720828421,20897.04508303785,1106.1645612376635,38161.8746953134,15315.179787567347,4460.63886264093,21228.254779820007,1223.3680210218529,38573.82396619537,83.65248083799378,47.94685153596611,99.44344933769696,15.3290911161382,156.1388565682765
epilearn_fullcurve,11919.145810440856,7764.787952247417,23037.250259807624,2918.210986151523,62883.72064289681,14436.492847889347,9671.36884677602,29054.2703596474,3603.481276962824,70982.73096709282,130.74106676202354,109.11615297776072,159.8550372831336,48.93614534455944,195.68029499346335,12438.64416863052,7654.685382372386,26864.65949863109,2918.210986151523,62883.72064289681,14264.669136574934,9625.724048831067,31041.86553265087,3603.481276962824,70982.73096709282,133.21575856929095,109.3390559519015,160.12083850088266,65.44136515099612,186.34916013853623
lstm,10036.576049804688,6922.554617745535,16946.81392996652,2467.488603864397,48094.4951171875,12327.87795681139,8107.172102308427,21957.24579745613,3467.284294097461,59499.69779721566,117.98797986646494,100.71984687589918,142.61364757335315,42.69238165985851,188.2478851591706,11637.751883370536,7107.500270298549,21299.95880344936,3018.8370361328125,48094.4951171875,14049.47866815395,8840.153467191178,25838.4158663516,3809.575013366697,59499.69779721566,128.1988434132855,100.33271680987929,150.3969373544884,42.69238165985851,171.3396868703837
prophet,15474.947579846232,12071.04609835346,34342.38944245389,7796.588600082345,70362.18830089412,18377.613597567128,15274.56920973944,38744.327778092746,11278.062367634246,71263.78827296315,155.4092889149997,135.28110647028254,170.35763405646824,83.45933094892904,200.0,17281.365853113413,12303.65945043064,38145.79839026824,7796.588600082345,68417.77729519918,21022.95010062059,15246.037706956591,47768.330323135655,11278.062367634246,69193.75895269145,154.84896483001944,142.55689962734291,167.02640965051822,108.58357403611508,200.0
sarima,8873.068986427355,5652.902637577159,16425.316396823975,2312.5653871793334,46604.64211960016,11394.111830254024,7357.269114496954,21922.626426045023,2933.210068437655,53653.35634328773,126.61435743131948,103.21714455013876,143.76636392910336,43.24564865022191,186.85160693010167,9054.142753645245,5905.235628799818,21493.07843235221,2312.5653871793334,43187.85410192048,11607.489137492284,7964.311478075199,24353.381638131985,2933.210068437655,53653.35634328773,130.2856674799803,103.47004705039268,146.4406075035873,63.00595974266354,169.72600987692348
svr,10848.33281265998,7130.484702695974,20951.229381695364,3217.717746514997,49496.205082286375,12765.847063920886,8641.019344383605,23940.103634016043,4027.578615328228,53488.81195783799,114.64578892301924,102.30004262342838,136.113341461524,33.04130646519254,190.59114730900092,13159.630500953968,7545.901679826819,21471.306518135512,3378.573852191942,44498.9364247585,15238.182877385643,9281.82702046639,25129.537776521185,4027.578615328228,51731.14907392929,128.1343158327416,104.51682672154917,138.40858616350553,33.04130646519254,169.8825607868813
