country,model,exog_vars,value,metric,stat
China,sarima,death_all,7316.837110796736,MAE,P75
China,sarima,death_mobility,7311.122190156468,MAE,P75
China,sarima,death_recovered,7320.929060006269,MAE,P75
China,sarima,death_stringency,7316.821234252416,MAE,P75
China,sarima,no_exog,7334.988710165372,MAE,P75
China,svr,death_all,19692.734408538246,MAE,P75
China,svr,death_mobility,21066.71989720917,MAE,P75
China,svr,death_recovered,20636.25143819255,MAE,P75
China,svr,death_stringency,20676.80474835316,MAE,P75
China,svr,no_exog,19856.093873337213,MAE,P75
China,arima,death_all,227.8461990279389,MAE,MIN
China,arima,death_mobility,228.5464822722302,MAE,MIN
China,arima,death_recovered,228.507379470898,MAE,MIN
China,arima,death_stringency,227.78063357546608,MAE,MIN
China,arima,no_exog,228.4241540934042,MAE,MIN
China,cnn_lstm,death_all,700.4809603009905,MAE,MIN
China,cnn_lstm,death_mobility,445.1328822544644,MAE,MIN
China,cnn_lstm,death_recovered,681.3207310267859,MAE,MIN
China,cnn_lstm,death_stringency,2073.203861781529,MAE,MIN
China,cnn_lstm,no_exog,346.1521257672991,MAE,MIN
China,curvefit_lstm,death_all,367.47265474497055,MAE,MIN
China,curvefit_lstm,death_mobility,346.3655302261739,MAE,MIN
China,curvefit_lstm,death_recovered,191.81410284764917,MAE,MIN
China,curvefit_lstm,death_stringency,483.3083123273833,MAE,MIN
China,curvefit_lstm,no_exog,154.15222318471692,MAE,MIN
China,lstm,death_all,396.7625514439174,MAE,MIN
China,lstm,death_mobility,194.34930964878623,MAE,MIN
China,lstm,death_recovered,187.89567593165808,MAE,MIN
China,lstm,death_stringency,271.5353151048933,MAE,MIN
China,lstm,no_exog,182.1300408499581,MAE,MIN
China,prophet,death_all,389.6088426281698,MAE,MIN
China,prophet,death_mobility,447.6617904416854,MAE,MIN
China,prophet,death_recovered,556.8474577807989,MAE,MIN
China,prophet,death_stringency,464.549025666996,MAE,MIN
China,prophet,no_exog,652.4948994117219,MAE,MIN
China,sarima,death_all,302.28485881477053,MAE,MIN
China,sarima,death_mobility,264.79939368752275,MAE,MIN
China,sarima,death_recovered,221.20243390457355,MAE,MIN
China,sarima,death_stringency,302.2898143027404,MAE,MIN
China,sarima,no_exog,238.9083119486929,MAE,MIN
China,svr,death_all,668.5015911259685,MAE,MIN
China,svr,death_mobility,1008.0818437465108,MAE,MIN
China,svr,death_recovered,1001.8340693085004,MAE,MIN
China,svr,death_stringency,728.3813730925157,MAE,MIN
China,svr,no_exog,574.3534892201003,MAE,MIN
China,arima,death_all,38334.92132553515,MAE,MAX
China,arima,death_mobility,38275.78689980552,MAE,MAX
China,arima,death_recovered,38275.73841694019,MAE,MAX
China,arima,death_stringency,38330.03957582504,MAE,MAX
China,arima,no_exog,38247.37759911181,MAE,MAX
China,cnn_lstm,death_all,43970.26039341518,MAE,MAX
China,cnn_lstm,death_mobility,63749.70703,MAE,MAX
China,cnn_lstm,death_recovered,94361.11886160714,MAE,MAX
China,cnn_lstm,death_stringency,72643.67745535714,MAE,MAX
China,cnn_lstm,no_exog,37876.49344308036,MAE,MAX
China,curvefit_lstm,death_all,42128.89692966501,MAE,MAX
China,curvefit_lstm,death_mobility,28433.67617903368,MAE,MAX
China,curvefit_lstm,death_recovered,37228.0770356918,MAE,MAX
China,curvefit_lstm,death_stringency,34321.22919242654,MAE,MAX
China,curvefit_lstm,no_exog,29113.845542872965,MAE,MAX
China,lstm,death_all,34240.860072544645,MAE,MAX
China,lstm,death_mobility,29578.383928571428,MAE,MAX
China,lstm,death_recovered,30135.04129464286,MAE,MAX
China,lstm,death_stringency,34583.05022321428,MAE,MAX
China,lstm,no_exog,30745.05469,MAE,MAX
China,prophet,death_all,489693.1991122725,MAE,MAX
China,prophet,death_mobility,500390.420101663,MAE,MAX
China,prophet,death_recovered,493817.3018429796,MAE,MAX
China,prophet,death_stringency,488982.0010090538,MAE,MAX
China,prophet,no_exog,36006.802689099604,MAE,MAX
China,sarima,death_all,38725.01869853619,MAE,MAX
China,sarima,death_mobility,37969.28466837313,MAE,MAX
China,sarima,death_recovered,37994.596038920376,MAE,MAX
China,sarima,death_stringency,38044.39920656681,MAE,MAX
China,sarima,no_exog,37935.8576804859,MAE,MAX
China,svr,death_all,43712.58168167942,MAE,MAX
China,svr,death_mobility,47912.54546367237,MAE,MAX
China,svr,death_recovered,47839.37737089455,MAE,MAX
China,svr,death_stringency,45763.322583768415,MAE,MAX
China,svr,no_exog,46584.62958762293,MAE,MAX
China,arima,death_all,2784.822846086988,RMSE,MEDIAN
China,arima,death_mobility,2792.202009927534,RMSE,MEDIAN
China,arima,death_recovered,2784.051221044979,RMSE,MEDIAN
China,arima,death_stringency,2753.22960989897,RMSE,MEDIAN
China,arima,no_exog,2763.086855850456,RMSE,MEDIAN
China,cnn_lstm,death_all,10030.357468914372,RMSE,MEDIAN
China,cnn_lstm,death_mobility,6466.935170350622,RMSE,MEDIAN
China,cnn_lstm,death_recovered,6822.073517056154,RMSE,MEDIAN
China,cnn_lstm,death_stringency,11199.683243485546,RMSE,MEDIAN
China,cnn_lstm,no_exog,6273.476228970623,RMSE,MEDIAN
China,curvefit_lstm,death_all,5833.1937600409,RMSE,MEDIAN
China,curvefit_lstm,death_mobility,4241.608542711407,RMSE,MEDIAN
China,curvefit_lstm,death_recovered,4467.41443318665,RMSE,MEDIAN
China,curvefit_lstm,death_stringency,5817.590704701057,RMSE,MEDIAN
China,curvefit_lstm,no_exog,3801.12286597328,RMSE,MEDIAN
China,lstm,death_all,5675.388854182344,RMSE,MEDIAN
China,lstm,death_mobility,4576.027733146686,RMSE,MEDIAN
China,lstm,death_recovered,4727.50001239113,RMSE,MEDIAN
China,lstm,death_stringency,5786.493727530611,RMSE,MEDIAN
China,lstm,no_exog,4185.258110359649,RMSE,MEDIAN
China,prophet,death_all,6664.209080794026,RMSE,MEDIAN
China,prophet,death_mobility,6767.510892935308,RMSE,MEDIAN
China,prophet,death_recovered,6617.518234608006,RMSE,MEDIAN
China,prophet,death_stringency,6789.488297700376,RMSE,MEDIAN
China,prophet,no_exog,8358.865381726897,RMSE,MEDIAN
China,sarima,death_all,2788.857161696508,RMSE,MEDIAN
China,sarima,death_mobility,2821.159149346633,RMSE,MEDIAN
China,sarima,death_recovered,2815.2196738986327,RMSE,MEDIAN
China,sarima,death_stringency,2788.8657036746017,RMSE,MEDIAN
China,sarima,no_exog,2902.703736841004,RMSE,MEDIAN
China,svr,death_all,7900.932701514826,RMSE,MEDIAN
China,svr,death_mobility,7411.216397626222,RMSE,MEDIAN
China,svr,death_recovered,7134.901110462239,RMSE,MEDIAN
China,svr,death_stringency,8205.861612581555,RMSE,MEDIAN
China,svr,no_exog,6700.255672187008,RMSE,MEDIAN
China,arima,death_all,1337.2334689951756,RMSE,P25
China,arima,death_mobility,1340.8356344075214,RMSE,P25
China,arima,death_recovered,1340.9372760719189,RMSE,P25
China,arima,death_stringency,1326.7269937349922,RMSE,P25
China,arima,no_exog,1341.8405918611572,RMSE,P25
China,cnn_lstm,death_all,5843.589820504357,RMSE,P25
China,cnn_lstm,death_mobility,2139.3392885805715,RMSE,P25
China,cnn_lstm,death_recovered,2287.8581193752234,RMSE,P25
China,cnn_lstm,death_stringency,6351.163080554966,RMSE,P25
China,cnn_lstm,no_exog,2835.606782025316,RMSE,P25
China,curvefit_lstm,death_all,3546.4413699129163,RMSE,P25
China,curvefit_lstm,death_mobility,1783.5207378880727,RMSE,P25
China,curvefit_lstm,death_recovered,1895.9803752758476,RMSE,P25
China,curvefit_lstm,death_stringency,3425.4662766173665,RMSE,P25
China,curvefit_lstm,no_exog,1719.2753793875108,RMSE,P25
China,lstm,death_all,3271.4071768178774,RMSE,P25
China,lstm,death_mobility,2133.4805944204422,RMSE,P25
China,lstm,death_recovered,2395.495697842729,RMSE,P25
China,lstm,death_stringency,3324.9433582804118,RMSE,P25
China,lstm,no_exog,2313.808029936593,RMSE,P25
China,prophet,death_all,1706.1404202639053,RMSE,P25
China,prophet,death_mobility,2688.1823180676115,RMSE,P25
China,prophet,death_recovered,2615.805918363384,RMSE,P25
China,prophet,death_stringency,1711.8117797394032,RMSE,P25
China,prophet,no_exog,3306.698795671737,RMSE,P25
China,sarima,death_all,1298.4596491518262,RMSE,P25
China,sarima,death_mobility,1192.8486367349458,RMSE,P25
China,sarima,death_recovered,1228.7774863614184,RMSE,P25
China,sarima,death_stringency,1298.5855621554488,RMSE,P25
China,sarima,no_exog,1236.9101370101876,RMSE,P25
China,svr,death_all,4987.984841950427,RMSE,P25
China,svr,death_mobility,4290.137507365266,RMSE,P25
China,svr,death_recovered,4059.0464217114095,RMSE,P25
China,svr,death_stringency,5036.665312358006,RMSE,P25
China,svr,no_exog,3366.019690610309,RMSE,P25
China,arima,death_all,8827.093722200863,RMSE,P75
China,arima,death_mobility,8741.202009337208,RMSE,P75
China,arima,death_recovered,8741.202010631609,RMSE,P75
China,arima,death_stringency,8827.094275316025,RMSE,P75
China,arima,no_exog,8746.374622317915,RMSE,P75
